09/2011,PRINCETON BORO,Industrial,"1,070.462 THM",18,"33,992.000 KWH",28
09/2011,PRINCETON BORO,Residential,"49,730.808 THM","3,126","2,633,296.000 KWH","3,938"
09/2011,PRINCETON BORO,Street Lighting,,,"47,497.000 KWH",50
09/2011,PRINCETON TWP,Commercial,"150,147.262 THM",276,"5,730,935.000 KWH",719
09/2011,PRINCETON TWP,Industrial,425.082 THM,8,"52,328.000 KWH",20
09/2011,PRINCETON TWP,Residential,"127,400.416 THM","4,887","6,430,872.000 KWH","6,048"
09/2011,PRINCETON TWP,Street Lighting,,,"95,609.000 KWH",96
10/2011,PRINCETON BORO,Commercial,"1,281,812.576 THM",441,"14,430,038.000 KWH",888
10/2011,PRINCETON BORO,Industrial,"2,218.611 THM",19,"29,460.000 KWH",28
10/2011,PRINCETON BORO,Residential,"64,294.150 THM","3,061","2,053,588.000 KWH","3,856"
10/2011,PRINCETON BORO,Street Lighting,,,"51,238.000 KWH",50
10/2011,PRINCETON TWP,Commercial,"118,074.339 THM",275,"5,730,502.000 KWH",697
10/2011,PRINCETON TWP,Industrial,494.863 THM,8,"28,649.000 KWH",17
10/2011,PRINCETON TWP,Residential,"155,793.172 THM","4,839","5,005,225.000 KWH","5,983"
10/2011,PRINCETON TWP,Street Lighting,,,"102,409.000 KWH",95
11/2011,PRINCETON BORO,Commercial,"1,113,246.742 THM",440,"15,988,461.000 KWH",872
11/2011,PRINCETON BORO,Industrial,"5,353.465 THM",18,"23,214.000 KWH",28
11/2011,PRINCETON BORO,Residential,"177,608.098 THM","3,057","1,851,351.000 KWH","3,862"
11/2011,PRINCETON BORO,Street Lighting,,,"53,899.000 KWH",50
11/2011,PRINCETON TWP,Commercial,"196,555.724 THM",278,"5,098,635.000 KWH",701
11/2011,PRINCETON TWP,Industrial,"1,466.348 THM",9,"23,626.000 KWH",18
11/2011,PRINCETON TWP,Residential,"441,060.432 THM","4,860","4,455,274.000 KWH","5,987"
11/2011,PRINCETON TWP,Street Lighting,,,"107,318.000 KWH",94
12/2011,PRINCETON BORO,Commercial,"1,384,051.821 THM",461,"13,741,536.000 KWH",903
12/2011,PRINCETON BORO,Industrial,"7,675.785 THM",18,"16,195.000 KWH",28
12/2011,PRINCETON BORO,Residential,"267,658.114 THM","3,047","2,087,819.000 KWH","3,871"
12/2011,PRINCETON BORO,Street Lighting,,,"57,293.000 KWH",50
12/2011,PRINCETON TWP,Commercial,"241,671.579 THM",276,"5,693,720.000 KWH",731
12/2011,PRINCETON TWP,Industrial,"1,976.201 THM",8,"46,341.000 KWH",20
12/2011,PRINCETON TWP,Residential,"638,681.091 THM","4,846","5,090,716.000 KWH","5,955"
12/2011,PRINCETON TWP,Street Lighting,,,"114,309.000 KWH",96
01/2012,PRINCETON BORO,Commercial,"1,730,341.993 THM",455,"14,592,421.000 KWH",891
01/2012,PRINCETON BORO,Industrial,"11,994.581 THM",18,"21,197.000 KWH",28
01/2012,PRINCETON BORO,Residential,"428,237.258 THM","3,058","2,397,340.000 KWH","3,844"
01/2012,PRINCETON BORO,Street Lighting,,,"52,713.000 KWH",50
01/2012,PRINCETON TWP,Commercial,"365,873.321 THM",278,"5,929,531.000 KWH",691
01/2012,PRINCETON TWP,Industrial,"3,664.203 THM",8,"26,769.000 KWH",17
01/2012,PRINCETON TWP,Residential,"1,036,210.976 THM","4,836","5,983,783.000 KWH","5,994"
01/2012,PRINCETON TWP,Street Lighting,,,"105,152.000 KWH",94
02/2012,PRINCETON BORO,Commercial,"2,107,199.334 THM",453,"9,731,922.000 KWH",883
02/2012,PRINCETON BORO,Industrial,"10,689.962 THM",18,"18,119.000 KWH",28
02/2012,PRINCETON BORO,Residential,"405,644.566 THM","3,041","2,063,974.000 KWH","3,835"
02/2012,PRINCETON BORO,Street Lighting,,,"51,321.000 KWH",50
02/2012,PRINCETON TWP,Commercial,"318,753.057 THM",278,"5,978,482.000 KWH",716
02/2012,PRINCETON TWP,Industrial,"3,379.145 THM",8,"37,003.000 KWH",18
02/2012,PRINCETON TWP,Residential,"955,850.429 THM","4,841","5,094,637.000 KWH","5,943"
02/2012,PRINCETON TWP,Street Lighting,,,"55,534.000 KWH",94
03/2012,PRINCETON BORO,Commercial,"1,764,605.070 THM",442,"12,604,711.000 KWH",930
03/2012,PRINCETON BORO,Industrial,"10,724.822 THM",18,"21,624.000 KWH",28
03/2012,PRINCETON BORO,Residential,"364,571.154 THM","3,040","2,122,408.000 KWH","3,831"
03/2012,PRINCETON BORO,Street Lighting,,,"49,369.000 KWH",50
03/2012,PRINCETON TWP,Commercial,"345,183.322 THM",278,"5,769,331.000 KWH",704
03/2012,PRINCETON TWP,Industrial,"3,376.351 THM",8,"26,102.000 KWH",19
03/2012,PRINCETON TWP,Residential,"869,667.397 THM","4,857","5,093,873.000 KWH","5,949"
03/2012,PRINCETON TWP,Street Lighting,,,"102,540.000 KWH",96
04/2012,PRINCETON BORO,Commercial,"1,475,245.898 THM",450,"11,909,490.000 KWH",875
04/2012,PRINCETON BORO,Industrial,"6,010.868 THM",18,"18,578.000 KWH",28
04/2012,PRINCETON BORO,Residential,"191,791.439 THM","3,068","1,771,205.000 KWH","3,859"
04/2012,PRINCETON BORO,Street Lighting,,,"45,586.000 KWH",50
04/2012,PRINCETON TWP,Commercial,"199,452.570 THM",274,"5,437,610.000 KWH",703
04/2012,PRINCETON TWP,Industrial,"1,374.121 THM",8,"31,631.000 KWH",18
04/2012,PRINCETON TWP,Residential,"429,148.418 THM","4,844","4,200,425.000 KWH","5,959"
04/2012,PRINCETON TWP,Street Lighting,,,"98,416.000 KWH",96
05/2012,PRINCETON BORO,Commercial,"1,025,471.098 THM",447,"13,685,631.000 KWH",924
05/2012,PRINCETON BORO,Industrial,"3,792.159 THM",18,"17,741.000 KWH",29
05/2012,PRINCETON BORO,Residential,"122,424.088 THM","3,075","1,652,274.000 KWH","3,882"
05/2012,PRINCETON BORO,Street Lighting,,,"43,303.000 KWH",50
